smiles,MLM,HLM,KSOL,LogD,MDR1-MDCKII
COC1=CC=CC(Cl)=C1NC(=O)N1CCC[C@H](C(N)=O)C1 |a:16|,,,,0.3,2.0
O=C(NCC(F)F)[C@H](NC1=CC2=C(C=C1Br)CNC2)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,333.0,2.9,0.2
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1NC=N2 |&1:7|,,,,0.4,0.5
NC(=O)[C@H]1CCCN(C(=O)CC2=CC=CC3=C2C=CO3)C1 |&1:3|,,,376.0,1.0,8.5
CC1=CC(CC(=O)N2CCC[C@H](C(N)=O)C2)=CC=N1 |&1:11|,,,375.0,-0.3,0.9
O=C(NCC(F)F)[C@H](NC1=CN=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,362.0,1.5,0.8
COC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1 |&1:8|,,,,0.5,0.7
CC1=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=CC(C(F)(F)F)=C1 |&1:4|,,,,1.0,0.7
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1OC=C2 |&1:7|,,,187.0,0.6,2.1
CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |o1:6|,11.0,,134.0,2.8,0.2
CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1 |&1:11|,10.6,17.1,172.0,1.6,2.1
COCC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1 |&1:9|,,,192.0,0.2,1.7
COC1=CC(C#N)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1 |&1:9|,,,381.0,-0.4,0.5
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1CCC2 |&1:7|,,,,1.2,0.9
N#CC1=CC=CC(C2=NC3=C(C(=O)NC4=CC=C5CNCC5=C4)C=C(F)C=C3N2)=C1,22.0,,3.0,2.0,0.0
O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1N=C(C1=CC=C(F)C=C1)N2,36.8,,6.0,2.9,0.1
O=C(NC1=CC2=C(CNC2)C(C2=CNC(=O)C(F)=C2)=C1)C1=CC(F)=CC2=C1C=NN2,243.0,,66.0,0.4,0.651
N#CC1=CC2=C(C=C1NC(=O)C1=CC(F)=CC3=C1C=NN3)CNC2,288.0,16.7,193.0,0.6,3.9
O=C(NC1=CC2=C(CNC2)C(C2=CCOCC2)=C1)C1=CC(F)=CC2=C1C=NN2,152.0,,157.0,0.9,1.1
CO[C@H]1C[C@H](N2N=CC3=C(C(=O)NC4=CC=C5CNCC5=C4)C=C(Cl)C=C32)C1,,,340.0,1.5,1.6
O=C(NC1=CC2=C(CNC2)C(C2=CCS(=O)(=O)CC2)=C1)C1=CC(F)=CC2=C1C=NN2,96.9,,141.0,-0.1,1.3
COC1=CC(C2=CC(NC(=O)C3=CC(F)=CC4=C3C=NN4)=CC3=C2CNC3)=CC=N1,260.0,,180.0,2.0,0.788
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2C1CCC1,13.4,,172.0,2.0,1.0
CC(C)N1C=C2C(C(=O)NC3=CC=C4CNCC4=C3)=CC(Cl)=CC2=N1,,,181.0,1.6,3.4
CCCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,379.0,2.3,0.7
O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,553.0,36.3,184.0,0.7,1.62
O=C(NC1=CC2=C(C=C1C1CC1)CNC2)C1=CC(F)=CC2=C1C=NN2,86.8,,189.0,0.7,3.41
CNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |&1:4|,,,178.0,1.8,1.02
O=C(NCCCF)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,394.0,1.2,0.7
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,,,326.0,1.3,1.3
COCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,11.7,19.7,320.0,1.0,1.4
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |o1:7|,,,139.0,1.4,1.9
O=C(NC1=CC(Br)=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,145.0,13.6,4.0,1.8,3.4
CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2 |&1:6|,,23.2,154.0,2.9,0.432
O=C1CC2=C(C=C(F)C=C2C(=O)NC2=CC=C3CNCC3=C2)N1,,,368.0,-0.2,2.9
C=CC[C@H]1NCC2=CC(NC(=O)C3=CC(F)=CC4=C3C=NN4)=CC=C21 |&1:3|,,,356.0,1.7,3.86
O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1CCC2,37.4,,187.0,1.2,10.7
CN1C=C2C(C(=O)NC3=CC=C4CNCC4=C3)=CC(F)=CC2=N1,18.2,,309.0,0.2,3.4
O=C(NC1=CC2=C(C=C1Br)CNC2)C1=CC(F)=CC2=C1C=NN2,299.0,11.4,47.0,1.1,7.65
O=C(NC1=CC=C2CNCC2=C1)C1=CC=CC2=C1C=C(C(F)(F)F)N2,12.7,14.1,372.0,1.5,4.1
O=C1CC2=CC(C(=O)NC3=CC=C4CNCC4=C3)=CC=C2N1,,,136.0,,0.873
CN1C(=O)NC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,12.5,,161.0,0.5,0.805
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1NN=C2,54.0,,184.0,1.2,4.63
CC1=C(C(=O)NC2=CC(C3=CC=CN=C3)=CC=N2)C=C(C2CC2)N1C,388.0,,176.0,,13.5
N#CCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,374.0,0.6,0.5
CNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,,358.0,0.9,1.5
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=CC=NC=C12,24.5,,181.0,0.6,3.42
CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C |&1:9|,,57.7,,3.0,27.2
O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:7|,,,367.0,1.6,1.55
O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,180.0,,,,1.59
"COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:8,10|",,,218.0,,18.7
"O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12 |&1:14,&2:17|",,,377.0,,19.3
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1 |a:16|,,,324.0,,21.7
"C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|",,,383.0,,24.6
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |&1:16|,,,360.0,,22.3
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:2|,,,380.0,,25.4
CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1 |&1:6|,,,380.0,,22.7
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1,,,371.0,,4.78
N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,,14.0,,25.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C=CC3=CC=CC=C3O2)C1 |&1:17|,,,266.0,,14.8
CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C(F)F)=N1 |&1:4|,,,386.0,,16.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |&1:16|,,,382.0,,19.2
CNS(=O)(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:5|,,,380.0,,3.87
"O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1 |&1:3,21|",,,377.0,,0.844
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C[C@H]2CCCOC2)CC1 |&1:18|,,,380.0,,21.2
"CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4|",,,219.0,,20.0
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |&1:16,&2:23|",,,374.0,,24.5
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |&1:16|,,,314.0,,15.0
CNC(=O)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,,381.0,,2.22
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,43.8,12.8,,3.6,0.0942
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |&1:1,18|",,,377.0,,20.0
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NN=C3C=CC=CN23)C1 |&1:17|,,,393.0,,1.42
CN1N=CC=C1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:6|,,,379.0,,13.1
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2OCC[C@H]2C1 |&1:16,20|",,,386.0,,20.6
C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,,,350.0,,15.7
"O=C1N[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]1C2 |&1:3,&2:20|",,,389.0,,1.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=C(F)C(F)=C2)C1 |&1:16|,,,355.0,,16.4
CNC(=O)[C@H]1CC12CCN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2 |&1:4|,,,366.0,,1.98
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1 |&1:17|,,,361.0,,15.1
O=C1CC2=C(C=CC=C2C(=O)NC2=CC=C3CNCC3=C2)N1,,,152.0,0.3,0.924
CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:6|,,,311.0,0.5,0.963
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1C=CN2,34.3,,,,3.85
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1CCC2,,,335.0,1.8,2.57
CN1N=CC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,,,392.0,1.0,4.66
CNC(=O)[C@H](NC1=CC(CN)=CC(C(=O)O)=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,,335.0,0.0,0.94
OCC#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:4|,,,135.0,0.5,0.592
N#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,,10.3,297.0,0.9,1.1
CNC(=O)[C@H](NC1=CC(CN)=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,,352.0,1.5,0.302
"O=C(NC1=CC(Cl)=CC([C@H]2CN(CC3=CC=CC=C3)C[C@@H]2C2=CC=CC(C3=NNN=N3)=C2)=C1)OCC1=CC=CC=C1 |&1:9,20|",,46.3,,4.1,0.2
ClC1=CC=C2NC=C(CC3=CC=C(C4=NNN=N4)C=C3)C2=C1,,,,2.1,8.4
O=C(NC1=CC(Cl)=CC([C@H](NC2=CC=CC(C3=NNN=N3)=C2)C(=O)NCC2=CC=CC=C2)=C1)OCC1=CC=CC=C1 |&1:9|,,,,3.7,0.6
C=CC[C@H](NC1=CC=C(C2=NNN=N2)C=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,,10.1,,3.9,2.6
CNC(=O)[C@H](NC1=CC=C(C2=NN=NN2)C=C1)C1=CC(Cl)=CC(C2CC2)=C1 |&1:4|,,,,1.1,1.6
CC1=CC=CC=C1C1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,,,7.0,3.7,0.0109
CCN1C(C)=NN=C1SC1=CC(C)=NC2=NC=NN12,10.0,16.5,348.0,-0.5,0.401
CC1=NC2=NC=NN2C(SC2=NN=C(C)O2)=C1,151.0,182.0,356.0,0.1,0.12
ClC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,,,,4.1,1.85
CC1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,465.0,,60.0,1.8,0.0448
COC1=CC=C(C2=NN=C(SC3=CC(C)=NC4=NC=NN34)O2)C=C1,586.0,141.0,7.0,2.4,0.236
O=C(NC1=CC(Cl)=CC(C2=CC=C3NC(C(=O)O)=CC3=C2)=C1)OCC1=CC=CC=C1,,,356.0,3.7,0.61
O=C(O)CN1N=CC2=CC(C3=CC(Cl)=CC(NC(=O)OCC4=CC=CC=C4)=C3)=CC=C21,,,131.0,2.6,5.12
C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:3|,,65.5,332.0,4.1,1.24
C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,624.0,290.0,4.0,2.1,0.14
O=S(=O)(NCCC1=NC=CC(O)=N1)N1CCNCC1,,,349.0,,0.723
N#C[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1 |&1:2|,,13.6,344.0,3.2,3.23
O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,243.0,,279.0,0.9,1.8
N#C[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:2|,,12.0,112.0,0.6,1.22
"NCC1=CC(C(=O)O)=CC([C@@H]2C[C@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1 |&1:10,12|",,,52.0,2.7,0.819
CNCC1=NC2=NC=NN2C(SC2=NN=C(C3=CC=C(Cl)C=C3)N2C)=C1,0.0,0.0,356.0,0.7,0.441
CNC(=O)[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(C2=NNN=N2)=C1 |&1:4|,,21.3,333.0,2.2,1.39
CNC(=O)[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC2=C1C=NN2 |&1:4|,,,347.0,0.3,0.863
CC1=CSC(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=N1,,,6.0,2.9,0.636
COC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,,,11.0,2.6,0.657
C1=CC=C(C2=NC3=NN=CN3C(SC3=NC(C4=CC=CC=N4)=NO3)=C2)C=C1,0.0,0.0,73.0,2.7,0.00854
CCN1C(C)=NN=C1SC1=CC(C2=CC=CC=C2)=NC2=NC=NN12,20.1,35.1,283.0,1.4,0.0862
O=C(O)COC1=CC=CC(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,,,360.0,1.8,1.1
CN1C(SC2=CC(C3=NOC=C3)=NC3=NC=NN23)=NN=C1C1=CC=C(Cl)C=C1,,,8.0,2.0,0.392
CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,,,,4.3,1.85
ClC1=CC=C(C2=CN=C(SC3=CC(C4=CC=CC=C4)=NC4=NN=CN34)O2)C=C1,27.1,25.2,,4.2,0.289
COC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,,,6.0,4.1,0.0142
O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(N3N=NNC3=O)=C2)=C1)OCC1=CC=CC=C1,,11.2,107.0,3.8,9.46
O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(C3=NN=NN3)=C2)=C1)OCC1=CC=CC=C1,,,65.0,3.7,5.06
CC1=CC=C2OC(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)=NC2=C1,,,3.0,4.4,2.87
"O=C(N[C@H]1[C@H]2CCCCC[C@H]2[C@H]1C(=O)NC1=CC=CC(C2CCNCC2)=C1)OCC1=CC=CC=C1 |&1:3,4,10,11|",,31.3,49.0,2.8,0.395
COC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,,,39.0,4.0,0.00274
ClC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,,,2.0,4.2,0.00871
CC[C@H](CC1=NN=NN1)C1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1 |&1:2|,,24.9,60.0,4.1,2.79
CN1C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=NN=C1C1=CC=NC=C1,130.0,174.0,21.0,1.4,0.0237
C1=CC=C(C2=NC3=NC=NN3C(SC3=NC=CO3)=C2)C=C1,1040.0,332.0,52.0,2.3,0.0232
CC(C)COC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,99.8,41.1,11.0,4.4,2.67
CC(C)COC1=CC=C2C(OCCCC3=CC(C(=O)N(C)C)=NO3)=NOC2=C1,68.5,95.1,15.0,,7.05
CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,120.0,238.0,7.0,3.0,0.00929
CCC1=C(C2=CC=C(Cl)C=C2)SC(C(=O)NC2=CC=CC(CN)=C2)=C1,,,7.0,4.3,0.995
CC(C)C1=NC2=C(C(=O)NC3=CC=CC(CN)=C3)C=CC=C2N1,,,316.0,1.9,3.84
NCC1=CC=CC(NC(=O)C2=CC=CN3C=C(CN4CCCC4)N=C23)=C1,,,332.0,0.2,5.25
CN(C)C(=O)C1=NOC(CCCOC2=CC=C3C(OCC4CC4)=NOC3=C2)=C1,132.0,35.5,7.0,3.7,5.07
CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,140.0,31.2,18.0,3.5,14.8
CCOC1=NOC2=C(C)C(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,418.0,97.1,25.0,4.0,15.8
CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=C(C)C=C12,166.0,46.4,7.0,4.0,4.12
CC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1CN,,,,,0.0873
C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,73.8,60.4,158.0,3.5,19.3
"NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1 |&1:7,9|",,11.4,50.0,,1.66
O=C(NC1=CC(Cl)=CC(C(=O)NC2=NNC3=C2CNC3)=C1)OCC1=CC=CC=C1,,,26.0,,1.44
NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(CN)=C2)=C1,,21.0,375.0,-0.6,1.96
CN(C)C(=O)C1=NOC(CCCOC2=CC=CC(F)=C2)=C1,339.0,46.6,356.0,2.7,34.8
O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12 |&1:5|,67.5,20.3,356.0,0.6,5.44
CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1COCCC1=CC(C(=O)N(C)C)=NO1,78.9,36.5,68.0,3.5,15.2
C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,139.0,79.9,4.0,4.4,7.87
CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,281.0,42.6,208.0,2.6,34.4
CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=NC=C2)=NO1,80.5,19.6,4.0,4.5,1.01
CN(C)C(=O)C1=NOC(CCCOC2=CC=C(C3=NOC(C4CC4)=N3)C=C2)=C1,54.7,29.8,16.0,3.6,23.9
CN(C)C(=O)C1=NOC(CCCOC2=CC=C(CCC3CCNCC3)C=C2)=C1,29.4,,398.0,0.5,12.8
O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=C3CNCC3=C2)=C1)OCC1=CC=CC=C1,,12.7,35.0,2.8,1.25
O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,,26.3,380.0,2.8,3.65
CC1=NN=C(CCCOC2=CC=C(C3=NOC(C(F)(F)F)=N3)C=C2C)N1,15.4,,18.0,4.1,13.8
CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,26.4,28.9,8.0,,1.02
CN(C)C(=O)C1=NOC(CCCN2C=CC3=NC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,44.1,51.3,205.0,2.7,20.7
O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(C3CCNCC3)=C2)=C1)OCC1=CC=CC=C1,,,126.0,,1.8
NCCC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1,,17.5,88.0,2.9,0.791
CC1=CC(OCC2=CC=CC=C2)=CC=C1NS(=O)(=O)C1=CC=C(Cl)C=C1C(=O)O,,22.3,394.0,2.7,4.61
CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,,119.0,392.0,2.8,6.22
O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(C2=CC=CC=C2Cl)C=C1,,343.0,397.0,3.6,7.59
O=C(O)C1=CC(Cl)=C(F)C=C1S(=O)(=O)NC1=CC=C(OC2=CC=CC=C2Cl)C=C1,,67.4,396.0,3.3,4.29
